pokemon_id,type_id
1,12
1,4
2,12
2,4
3,12
3,4
4,10
5,10
6,10
6,3
7,11
8,11
9,11
10,7
11,7
12,7
12,3
13,7
13,4
14,7
14,4
15,7
15,4
16,1
16,3
17,1
17,3
18,1
18,3
19,1
20,1
21,1
21,3
22,1
22,3
23,4
24,4
25,13
26,13
27,5
28,5
29,4
30,4
31,4
31,5
32,4
33,4
34,4
34,5
35,18
36,18
37,10
38,10
39,1
39,18
40,1
40,18
41,4
41,3
42,4
42,3
43,12
43,4
44,12
44,4
45,12
45,4
46,7
46,12
47,7
47,12
48,7
48,4
49,7
49,4
50,5
51,5
52,1
53,1
54,11
55,11
56,2
57,2
58,10
59,10
60,11
61,11
62,11
62,2
63,14
64,14
65,14
66,2
67,2
68,2
69,12
69,4
70,12
70,4
71,12
71,4
72,11
72,4
73,11
73,4
74,6
74,5
75,6
75,5
76,6
76,5
77,10
78,10
79,11
79,14
80,11
80,14
81,13
81,9
82,13
82,9
83,1
83,3
84,1
84,3
85,1
85,3
86,11
87,11
87,15
88,4
89,4
90,11
91,11
91,15
92,8
92,4
93,8
93,4
94,8
94,4
95,6
95,5
96,14
97,14
98,11
99,11
100,13
101,13
102,12
102,14
103,12
103,14
104,5
105,5
106,2
107,2
108,1
109,4
110,4
111,5
111,6
112,5
112,6
113,1
114,12
115,1
116,11
117,11
118,11
119,11
120,11
121,11
121,14
122,14
122,18
123,7
123,3
124,15
124,14
125,13
126,10
127,7
128,1
129,11
130,11
130,3
131,11
131,15
132,1
133,1
134,11
135,13
136,10
137,1
138,6
138,11
139,6
139,11
140,6
140,11
141,6
141,11
142,6
142,3
143,1
144,15
144,3
145,13
145,3
146,10
146,3
147,16
148,16
149,16
149,3
150,14
151,14
152,12
153,12
154,12
155,10
156,10
157,10
158,11
159,11
160,11
161,1
162,1
163,1
163,3
164,1
164,3
165,7
165,3
166,7
166,3
167,7
167,4
168,7
168,4
169,4
169,3
170,11
170,13
171,11
171,13
172,13
173,18
174,1
174,18
175,18
176,18
176,3
177,14
177,3
178,14
178,3
179,13
180,13
181,13
182,12
183,11
183,18
184,11
184,18
185,6
186,11
187,12
187,3
188,12
188,3
189,12
189,3
190,1
191,12
192,12
193,7
193,3
194,11
194,5
195,11
195,5
196,14
197,17
198,17
198,3
199,11
199,14
200,8
201,14
202,14
203,1
203,14
204,7
205,7
205,9
206,1
207,5
207,3
208,9
208,5
209,18
210,18
211,11
211,4
212,7
212,9
213,7
213,6
214,7
214,2
215,17
215,15
216,1
217,1
218,10
219,10
219,6
220,15
220,5
221,15
221,5
222,11
222,6
223,11
224,11
225,15
225,3
226,11
226,3
227,9
227,3
228,17
228,10
229,17
229,10
230,11
230,16
231,5
232,5
233,1
234,1
235,1
236,2
237,2
238,15
238,14
239,13
240,10
241,1
242,1
243,13
244,10
245,11
246,6
246,5
247,6
247,5
248,6
248,17
249,14
249,3
250,10
250,3
251,14
251,12
252,12
253,12
254,12
255,10
256,10
256,2
257,10
257,2
258,11
259,11
259,5
260,11
260,5
261,17
262,17
263,1
264,1
265,7
266,7
267,7
267,3
268,7
269,7
269,4
270,11
270,12
271,11
271,12
272,11
272,12
273,12
274,12
274,17
275,12
275,17
276,1
276,3
277,1
277,3
278,11
278,3
279,11
279,3
280,14
280,18
281,14
281,18
282,14
282,18
283,7
283,11
284,7
284,3
285,12
286,12
286,2
287,1
288,1
289,1
290,7
290,5
291,7
291,3
292,7
292,8
293,1
294,1
295,1
296,2
297,2
298,1
298,18
299,6
300,1
301,1
302,17
302,8
303,9
303,18
304,9
304,6
305,9
305,6
306,9
306,6
307,2
307,14
308,2
308,14
309,13
310,13
311,13
312,13
313,7
314,7
315,12
315,4
316,4
317,4
318,11
318,17
319,11
319,17
320,11
321,11
322,10
322,5
323,10
323,5
324,10
325,14
326,14
327,1
328,5
329,5
329,16
330,5
330,16
331,12
332,12
332,17
333,1
333,3
334,16
334,3
335,1
336,4
337,6
337,14
338,6
338,14
339,11
339,5
340,11
340,5
341,11
342,11
342,17
343,5
343,14
344,5
344,14
345,6
345,12
346,6
346,12
347,6
347,7
348,6
348,7
349,11
350,11
351,1
352,1
353,8
354,8
355,8
356,8
357,12
357,3
358,14
359,17
360,14
361,15
362,15
363,15
363,11
364,15
364,11
365,15
365,11
366,11
367,11
368,11
369,11
369,6
370,11
371,16
372,16
373,16
373,3
374,9
374,14
375,9
375,14
376,9
376,14
377,6
378,15
379,9
380,16
380,14
381,16
381,14
382,11
383,5
384,16
384,3
385,9
385,14
386,14
387,12
388,12
389,12
389,5
390,10
391,10
391,2
392,10
392,2
393,11
394,11
395,11
395,9
396,1
396,3
397,1
397,3
398,1
398,3
399,1
400,1
400,11
401,7
402,7
403,13
404,13
