customerid|sessionid
10000000-0000-0000-0000-000000000001|20000000-0000-0000-0001-000000000001
10000000-0000-0000-0000-000000000001|20000000-0000-0000-0001-000000000002
10000000-0000-0000-0000-000000000001|20000000-0000-0000-0001-000000000003
10000000-0000-0000-0000-000000000001|20000000-0000-0000-0001-000000000004
10000000-0000-0000-0000-000000000002|20000000-0000-0000-0002-000000000005
10000000-0000-0000-0000-000000000014|20000000-0000-0000-0014-000000000006
10000000-0000-0000-0000-000000000015|20000000-0000-0000-0015-000000000007
10000000-0000-0000-0000-000000000016|20000000-0000-0000-0016-000000000008
10000000-0000-0000-0000-000000000017|20000000-0000-0000-0017-000000000009
10000000-0000-0000-0000-000000000018|20000000-0000-0000-0018-000000000010
10000000-0000-0000-0000-000000000019|20000000-0000-0000-0019-000000000011
10000000-0000-0000-0000-000000000020|20000000-0000-0000-0020-000000000012
10000000-0000-0000-0000-000000000021|20000000-0000-0000-0021-000000000013
10000000-0000-0000-0000-000000000022|20000000-0000-0000-0022-000000000014
10000000-0000-0000-0000-000000000023|20000000-0000-0000-0023-000000000015
10000000-0000-0000-0000-000000000024|20000000-0000-0000-0024-000000000016
10000000-0000-0000-0000-000000000003|20000000-0000-0000-0003-000000000017
10000000-0000-0000-0000-000000000025|20000000-0000-0000-0025-000000000018
10000000-0000-0000-0000-000000000004|20000000-0000-0000-0004-000000000020
10000000-0000-0000-0000-000000000026|20000000-0000-0000-0000-000000000026
10000000-0000-0000-0000-000000000026|20000000-0000-0002-0048-000000000082
10000000-0000-0000-0000-000000000027|20000000-0000-8093-0002-000000000138
10000000-0000-0000-0000-000000000028|20000000-0000-0040-0009-000000001943
10000000-0000-0000-0000-000000000028|20000000-0000-0040-0299-000000000334
10000000-0000-0000-0000-000000000029|20000000-0000-0040-0028-000000003980
10000000-0000-0000-0000-000000000030|20000000-0000-0040-0099-000000040010
10000000-0000-0000-0000-000000000031|20000000-0000-0040-0022-000000001334
10000000-0000-0000-0000-000000000032|20000000-0000-0040-0019-000000000914
10000000-0000-0000-0000-000000000033|20000000-0000-0040-0012-000000005190
10000000-0000-0000-0000-000000000034|20000000-0000-0040-0038-000000000310
