deviceid|type|os|osversion
30000000-0000-0000-0001-000000000001|tablet|ios|10.3.1
30000000-0000-0000-0002-000000000003|computer|macos|10.12.3
30000000-0000-0000-0015-000000000004|computer|linux|3.13.0-107-generic
30000000-0000-0000-0025-000000000005|tablet|amazon|5.3.2.1
30000000-0000-0000-0004-000000000007|phone|android|7.1.2
30000000-0000-0000-0122-000000000064|computer|windows|6.3.9600
30000000-0000-0000-0080-000000008443|computer|macos|10.12.3
30000000-0000-0000-0080-000000001211|computer|windows|10.0.10240
30000000-0000-0000-0003-000000002009|computer|windows|10.0.10240
30000000-0000-0000-0027-000000000187|tablet|ios|10.3.1
30000000-0000-0000-1997-000000000022|tablet|android|6.0.1
30000000-0000-0000-0143-000000017483|computer|macos|10.12.4
30000000-0000-0000-0099-000000000028|tablet|ios|10.3.1
30000000-0000-0000-0094-000000000048|computer|macos|10.12.3
30000000-0000-0000-0080-000000000441|phone|android|6.0.1
30000000-0000-0000-0014-000000000003|computer|windows|10.0.10240
30000000-0000-0000-0001-000000000002|phone|ios|10.3.1
30000000-0000-0000-0026-000000000006|phone|android|6.0.1
