1::A.B. Guthrie Jr.
2::A.C. Abadie
3::A.R. Rahman
4::Aaron Blaise
5::Aaron Eckhart
6::Aaron Johnson
7::Aaron Seltzer
8::Aaron Tveit
9::Aaron Zigman
10::Aasif Mandvi
11::Abbey Lee
12::Abby Everett Jaques
13::Abby Kohn
14::Abdellatif Kechiche
15::Abe Vigoda
16::Abigail Breslin
17::Abraham Benrubi
18::Ada Carrasco
19::Adam Arkin
20::Adam Baldwin
21::Adam Biddle
22::Adam Brody
23::Adam Brooks
24::Adam Brown
25::Adam Buxton
26::Adam Campbell
27::Adam Cooper
28::Adam DeVine
29::Adam F.
30::Adam F. Goldberg
31::Adam Ferrara
32::Adam Godley
33::Adam Goldberg
34::Adam Greenberg
35::Adam Hann-Byrd
36::Adam Herz
37::Adam LeFevre
38::Adam Levine
39::Adam Nelson
40::Adam Pascal
41::Adam Roarke
42::Adam Sandler
43::Adam Schlesinger
44::Adam Shankman
45::Adam Sztykiel
46::Adam Tomei
47::Addrian Biddle
48::Ade
49::Adewale Akinnuoye-Agbaje
50::Adolfo Franci
51::Adolph Deutsch
52::Adolph Green
53::Adoni Maropis
54::Adrian Biddle
55::Adrian Johnston
56::Adrian Lyne
57::Adrian Martinez
58::Adrian Rawlins
59::Adriana Barraza
60::Adriano Goldman
61::Adrien Brody
62::Adrien de Van
63::Adrienne Corri
64::Adril Hussain
65::Adrià Collado
66::Adèle Exarchopoulos
67::Aeneas Mackenzie
68::Affonso Beato
69::Afshan Azad
70::Afshin Shahidi
71::Agenore Incrocci
72::Agnes Moorehead
73::Agnese Nano
74::Agustín Almodóvar
75::Agustín Díaz Yanes
76::Agustín González
77::Ah Ping
78::Aharon Ipalé
79::Ahmed Best
80::Ahna O'Reilly
81::Ahney Her
82::Ai Wan
83::Aida Turturro
84::Aidan Gillen
85::Aidan Quinn
86::Aidan Turner
87::Aileen Quinn
88::Aimee Garcia
89::Aisha Hinds
90::Aitana Sánchez-Gijón
91::Aitor Mazo
92::Akiko Monou
93::Akiko Takeshita
94::Akira Kurosawa
95::Akiva Goldsman
96::Al Checco
97::Al Ernest Garcia
98::Al Hoffman
99::Al Jean
100::Al Leong
101::Al Lettieri
102::Al Martino
103::Al Matthews
104::Al Mulock
105::Al Pacino
106::Al Ruscio
107::Al Thompson
108::Al White
109::Al Wilde
110::Alan Alda
111::Alan Arkin
112::Alan Ball
113::Alan Cumming
114::Alan Dale
115::Alan Doyle
116::Alan Ford
117::Alan Gilfford
118::Alan Hale
119::Alan Hale Jr.
120::Alan Howard
121::Alan Hume
122::Alan Jay Lerner
123::Alan Keyes
124::Alan Ladd
125::Alan Menken
126::Alan Mowbray
127::Alan North
128::Alan Parker
129::Alan Rachins
130::Alan Rickman
131::Alan Rubin
132::Alan Ruck
133::Alan Sharp
134::Alan Silvestri
135::Alan Tudyk
136::Alan Young
137::Alanna Ubach
138::Alar Kivilo
139::Alastair Foley
140::Alba Gaia Bellugi
141::Albert Basserman
142::Albert Brooks
143::Albert Delpy
144::Albert Dupontel
145::Albert Finney
146::Albert Hackett
147::Albert Maltz
148::Albert Moses
149::Albert Pla
150::Albert Salmi
151::Alberta Watson
152::Alberto Ammann
153::Alberto Chaves
154::Alberto De Martino
155::Alberto Iglesias
156::Alberto Romea
157::Alberto San Juan
158::Alberton Morin
159::Aldo Giordani
160::Aldo Giuffrè
161::Aldo Sambrell
162::Alec Baldwin
163::Alec Guinness
164::Alec McCowen
165::Alec Sokolow
166::Alejandro Agresti
167::Alejandro Amenábar
168::Alejandro González Iñárritu
169::Alejo Sauras
170::Aleksandr Kaidanovsky
171::Aleksandr Knyazhinsky
172::Alessandro Cicognini
173::Alessandro Nivola
174::Alessia Marcuzzi
175::Alex Borstein
176::Alex Burton
177::Alex Catalán
178::Alex D. Linz
179::Alex Dimitriades
180::Alex Garland
181::Alex Gerry
182::Alex Karras
183::Alex Kingston
184::Alex Kurtzman
185::Alex Kurtzman-Counter
186::Alex Lowe
187::Alex Martínez
188::Alex McAvoy
189::Alex McCrindle
190::Alex Meraz
191::Alex Nepomniaschy
192::Alex Nicol
193::Alex North
194::Alex Norton
195::Alex O'Dogherty
196::Alex O'Loughlin
197::Alex Palmer
198::Alex Proyas
199::Alex Rocco
200::Alex Romero
201::Alex Scott
202::Alex Thomson
203::Alex Tse
204::Alex Wurman
205::Alexa Vega
206::Alexander Armstrong
207::Alexander Godunov
208::Alexander Granach
209::Alexander Janko
210::Alexander Knox
211::Alexander Ludwig
212::Alexander Siddig
213::Alexander Skarsgård
214::Alexandra Jiménez
215::Alexandra Maria Lara
216::Alexandra Vandernoot
217::Alexandre Charlot
218::Alexandre Desplat
219::Alexandre Rodrigues
220::Alexandre Tharaud
221::Alexei Sayle
222::Alexia Robinson
223::Alexie Gilmore
224::Alexis Bledel
225::Alexis Cruz
226::Alexis Denisof
227::Alexis Knapp
228::Alexis Rhee
229::Alexis Smith
230::Alexis Thorpe
231::Alexis Valdés
232::Alf Clausen
233::Alfie Enoch
234::Alfonso Albacete
235::Alfonso Aragón
236::Alfonso Arau
237::Alfonso Bedoya
238::Alfonso Cuarón
239::Alfonso Freeman
240::Alfonso de Vilallonga
241::Alfred Abel
242::Alfred Gilks
243::Alfred Lutter
244::Alfred Molina
245::Alfred Newman
246::Alfredo F. Mayo
247::Alfredo Landa
248::Alfredo Rizzo
249::Ali Larter
250::Ali MacGraw
251::Alia Janine
252::Alice Braga
253::Alice Carter
254::Alice Drummond
255::Alice Eve
256::Alice Ghostley
257::Alice Lowe
258::Alice Pearce
259::Alicia Coppola
260::Alicia Silverstone
261::Alicia Witt
262::Aline Brosh McKenna
263::Aline MacMahon
264::Alisa Freyndlikh
265::Alison Doody
266::Alison Elliott
267::Alison Lohman
268::Alison Pill
269::Alistair Brammer
270::Allan Carr
271::Allan Garcia
272::Allan Gray
273::Allan Jones
274::Allan Loeb
275::Allan Scott
276::Allan Weiss
277::Allegra Carpenter
278::Allelon Ruggiero
279::Allen Coulter
280::Allen Covert
281::Allen Daviau
282::Allen Garfield
283::Allen Jenkins
284::Allison Janney
285::Allison McCurdy
286::Ally Walker
287::Allyn Ann McLerie
288::Alma Jodorowsky
289::Alon Aboutboul
290::Althea Gibson
291::Alun Armstrong
292::Alun Owen
293::Alvin Sargent
294::Alwin Kuchler
295::Alyson Hannigan
296::Alyson Reed
297::Aman Johal
298::Amanda Blake
299::Amanda Bynes
300::Amanda Donohoe
301::Amanda Fairbank-Hynes
302::Amanda Foreman
303::Amanda Michalka
304::Amanda Peet
305::Amanda Plummer
306::Amanda Seyfried
307::Amanda Silver
308::Amanda Swisten
309::Amandla Stenberg
310::Amaury Nolasco
311::Amber Beattie
312::Amber Heard
313::Amber Scott
314::Amber Tamblyn
315::Amber Valletta
316::Amelie Kiefer
317::Amin Joseph
318::Amir Aboulela
319::Amrish Puri
320::Amy Adams
321::Amy Brenneman
322::Amy Eccles
323::Amy Esterle
324::Amy Hill
325::Amy Irving
326::Amy Locane
327::Amy O'Neill
328::Amy Rosoff
329::Amy Ryan
330::Amy Sedaris
331::Amy Smart
332::Amy Yasbeck
333::Ana Dela Cruz
334::Ana Gasteyer
335::Ana Gracia
336::Ana Polvorosa
337::Ana Risueño
338::Ana de Armas
339::Analeigh Tipton
340::Anatoly Solonitsyn
341::Andie MacDowell
342::Andie Macdowell
343::Andre Bijelic
344::Andre Gregory
345::Andre Previn
346::Andrea Corr
347::Andrea Eckert
348::Andrea Esterhazy
349::Andrea Guerra
350::Andrea King
351::Andrea Martin
352::Andrea Nemeth
353::Andrea Powell
354::Andrea Riseborough
355::Andreas Katsulas
356::Andrei Tarkovsky
357::Andres Heinz
358::Andreu Buenafuente
359::Andrew Adamson
360::Andrew Bergman
361::Andrew Crayford
362::Andrew Davies
363::Andrew Davis
364::Andrew Divoff
365::Andrew Dominik
366::Andrew Dunn
367::Andrew Friedman
368::Andrew Keegan
369::Andrew Laszlo
370::Andrew Lesnie
371::Andrew Lincoln
372::Andrew Lloyd Webber
373::Andrew Lloyd Weber
374::Andrew MacLachlan
375::Andrew Miller
376::Andrew Niccol
377::Andrew Pleavin
378::Andrew Scott
379::Andrew Secombe
380::Andrew Stanton
381::Andrew Strong
382::Andrew Tieman
383::Andrij Parekh
384::Andrzej Bartowiak
385::Andrzej Sekula
386::André Braugher
387::André Dussollier
388::André Morell
389::André Previn
390::André Ramiro
391::André the Giant
392::Andrés Lima
393::Andrés Sáenz de Heredia
394::Andy Beckwith
395::Andy Devine
396::Andy Dick
397::Andy García
398::Andy Lindberg
399::Andy Nyman
400::Andy Robinson
401::Andy Samberg
402::Andy Secombe
403::Andy Serkis
404::Andy Tennant
405::Andy Wachowski
406::Andy Yerkes
407::Ang Lee
408::Angela Bassett
409::Angela Featherstone
410::Angela Goethals
411::Angela Jones
412::Angela Lansbury
413::Angela Paton
414::Angelica Mandy
415::Angelina Estrada
416::Angelina Jolie
417::Angeline Ball
418::Angelo Badalamenti
419::Angelo Milli
420::Angie Dickinson
421::Angie Harmon
422::Angus Barnett
423::Angus Lennie
424::Angus MacFadyen
425::Angus Sampson
426::Angélica Aragón
427::Ania Iglesias
428::Aniela McGuinness
429::Anika Noni Rose
430::Anil Kapoor
431::Animation
432::Anjelica Huston
433::Anjini Taneja Azhar
434::Ann Bell
435::Ann Blyth
436::Ann Miller
437::Ann Nelson
438::Ann Peacock
439::Ann Reinking
440::Ann Robinson
441::Ann Rutherford
442::Ann Shoemaker
443::Ann-Margret
444::Anna Camp
445::Anna Deavere Smith
446::Anna Faris
447::Anna Kendrick
448::Anna Kournikova
449::Anna Lee
450::Anna Palk
451::Anna Paquin
452::Anna Popplewell
453::Anna Q. Nilsson
454::Anna Thomson
455::AnnaSophia Robb
456::Annabel Jankel
457::Annabeth Gish
458::Anne Bancroft
459::Anne Baxter
460::Anne Brochet
461::Anne Byrne
462::Anne Dudley
463::Anne Dyson
464::Anne Fletcher
465::Anne Francis
466::Anne Haney
467::Anne Hathaway
468::Anne Heche
469::Anne Kent
470::Anne Le Ny
471::Anne Marivin
472::Anne Newman
473::Anne Parillaud
474::Anne Ramsey
475::Anne Reid
476::Anne Vernon
477::Annelise Hesme
478::Annette Bening
479::Annette Crosbie
480::Annie Corley
481::Annie Golden
482::Annie Parisse
483::Annie Potts
484::Annika Peterson
485::Ansel Elgort
486::Anthony Anderson
487::Anthony Daniels
488::Anthony Dod Mantle
489::Anthony Gonzalez
490::Anthony Hardwick
491::Anthony Havelock Allan
492::Anthony Head
493::Anthony Higgins
494::Anthony Hines
495::Anthony Hopkins
496::Anthony James
497::Anthony Mackie
498::Anthony Mann
499::Anthony Marinelli
500::Anthony Michael Hall
501::Anthony Minghella
502::Anthony Peck
503::Anthony Peckham
504::Anthony Quayle
505::Anthony Quinn
506::Anthony Rapp
507::Anthony Ray Parker
508::Anthony Stacchi
509::Anthony Wong Chau-Sang
510::Anthony Zerbe
511::Antoine Fuqua
512::Antoine Roch
513::Antoine Saint-John
514::Anton Diffring
515::Anton Walbrook
516::Anton Yelchin
517::Antonella Attiu
518::Antonia Franceschi
519::Antonia San Juan
520::Antonio Banderas
521::Antonio Cora
522::Antonio David Lyons
523::Antonio Dechent
524::Antonio Ferrandis
525::Antonio Gamero
526::Antonio Hernández
527::Antonio Larreta
528::Antonio Molino Rojo
529::Antonio Pinto
530::Antonio Prieto
531::Antonio Resines
532::Antonio Rodrigo Nogueira
533::Antonio Vivaldi
534::Antonio de la Torre
535::Antony Sher
536::Antón García Abril
537::Anupam Kher
538::April Grace
539::April Kent
540::Arabella Field
541::Aramis Ney
542::Arcade Fire
543::Arcelia Ramírez
544::Archie Hahn
545::Archie J. Stout
546::Archie Stout
547::Aretha Franklin
548::Argentina Brunetti
549::Ari Handel
550::Ariadna Gil
551::Ariana Richards
552::Ariane Labed
553::Arie Verveen
554::Ariel Gade
555::Ariel Galván
556::Ariel Waller
557::Arija Bareikis
558::Arkadiy Strugatskiy
559::Arlekín
560::Arlen Dean Snyder
